,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
291,0,1.0,740000,12500,2,2.0,2015,1.0
292,0,1.0,610000,85000,1,0.0,2017,1.0
293,0,1.0,495000,40000,1,0.0,2016,2.0
294,0,1.0,510000,71000,1,0.0,2014,2.0
295,0,1.0,560000,44000,1,0.0,2017,1.0
296,0,1.0,455000,124000,2,0.0,2009,8.0
297,0,1.0,350000,78000,3,0.0,2012,1.0
298,0,1.0,463099,44696,1,1.0,2017,6.0
299,0,1.0,350599,33004,1,2.0,2018,1.0
300,0,1.0,636299,46034,1,1.0,2016,2.0
301,0,1.0,698199,60307,1,1.0,2020,2.0
302,0,1.0,764199,8825,1,1.0,2021,2.0
303,0,1.0,524799,5743,1,1.0,2019,1.0
304,1,1.0,420000,87000,2,1.0,2013,4.0
305,1,1.0,1831000,19500,1,0.0,2020,12.0
306,1,1.0,210000,60000,1,0.0,2010,25.0
307,1,1.0,465000,70000,1,0.0,2013,10.0
309,1,1.0,1090000,35623,1,0.0,2020,1.0
311,1,1.0,225000,98500,1,0.0,2009,2.0
312,0,1.0,524799,5743,1,1.0,2019,1.0
313,0,1.0,493899,25735,1,1.0,2019,1.0
314,0,1.0,825299,37522,1,2.0,2019,2.0
315,0,1.0,495499,38955,1,1.0,2018,1.0
316,0,1.0,557699,40664,1,1.0,2017,17.0
317,0,1.0,277599,65308,1,1.0,2014,2.0
318,0,1.0,473899,30467,1,1.0,2017,1.0
319,0,1.0,855299,1954,1,1.0,2019,2.0
320,0,1.0,540299,35220,1,1.0,2019,2.0
321,0,1.0,642899,75876,1,1.0,2016,2.0
322,0,1.0,442299,27020,1,1.0,2021,1.0
323,0,1.0,725399,13739,1,1.0,2019,6.0
324,0,1.0,558299,21544,1,1.0,2019,1.0
325,0,1.0,354299,13816,1,1.0,2016,1.0
326,0,1.0,673599,23817,1,1.0,2016,2.0
327,0,1.0,525099,60985,1,1.0,2017,2.0
328,1,1.0,525000,80000,2,0.0,2012,2.0
329,1,1.0,675000,30123,1,0.0,2018,10.0
330,1,1.0,325000,67000,1,0.0,2016,6.0
331,1,1.0,645000,26123,1,0.0,2020,6.0
332,1,1.0,785000,60123,1,0.0,2017,1.0
333,1,1.0,690000,52123,2,0.0,2016,7.0
334,1,1.0,425000,11123,1,0.0,2018,1.0
335,1,1.0,645000,41233,1,0.0,2019,2.0
336,0,1.0,529699,50141,1,1.0,2016,1.0
337,0,1.0,1081899,86033,2,0.0,2018,1.0
338,0,6.0,256000,30000,1,1.0,2012,19.0
339,0,1.0,290000,86924,1,0.0,2008,3.0
340,0,1.0,735000,68870,1,0.0,2016,10.0
341,0,1.0,1244799,22292,1,2.0,2019,1.0
342,0,1.0,474399,44013,1,1.0,2014,3.0
343,0,1.0,389399,96250,1,2.0,2016,1.0
344,0,1.0,562399,59839,1,2.0,2017,1.0
345,0,1.0,446699,49693,1,2.0,2015,2.0
346,0,1.0,439999,22223,1,1.0,2017,6.0
347,0,1.0,918999,8030,1,2.0,2021,3.0
348,0,1.0,815799,38780,1,2.0,2016,10.0
349,0,1.0,896799,31919,2,2.0,2018,1.0
350,0,1.0,411399,47564,1,2.0,2015,2.0
351,0,1.0,498999,42836,1,2.0,2013,2.0
352,1,1.0,470000,6000,1,0.0,2020,6.0
353,1,1.0,69000,85000,2,0.0,2007,5.0
354,1,6.0,925000,27000,2,0.0,2018,7.0
356,1,1.0,557699,145000,2,0.0,2013,14.0
